montant_xof,heure,type_operation,anciennete_compte_j,nb_tx_24h,fraude
5350,16,paiement,886,1,0
3110,14,transfert,891,0,0
5050,13,retrait,498,1,0
7780,17,paiement,1647,3,0
17920,16,transfert,1345,0,0
4530,16,paiement,1077,5,0
3370,11,paiement,1241,1,0
3920,11,paiement,1003,3,0
6660,11,paiement,1988,3,0
13680,14,paiement,150,4,0
9510,13,paiement,605,1,0
5340,16,paiement,775,3,0
3070,13,retrait,1265,1,0
14830,11,transfert,883,6,0
1380,13,transfert,466,0,0
2060,11,paiement,680,1,0
1940,9,paiement,827,1,0
4030,15,paiement,1108,6,0
2360,17,paiement,1748,2,0
7310,12,paiement,1136,2,0
14980,12,retrait,1414,1,0
6750,11,transfert,1066,1,0
18850,11,paiement,1406,3,0
5320,5,transfert,420,3,0
34940,13,transfert,1613,1,0
13720,15,transfert,763,1,0
3410,20,paiement,555,3,0
1430,16,paiement,424,2,0
3670,10,paiement,881,3,0
10080,12,paiement,1443,5,0
2410,15,paiement,1260,4,0
4350,5,paiement,716,2,0
2990,11,paiement,1448,4,0
27640,6,paiement,1294,2,0
12430,13,retrait,1270,1,0
810,13,paiement,178,0,0
2620,8,retrait,255,3,0
2220,12,paiement,134,3,0
8480,10,paiement,1178,0,0
4710,9,paiement,891,1,0
4730,15,transfert,1092,1,0
4020,17,transfert,1070,3,0
6490,13,paiement,1299,1,0
2180,18,transfert,297,1,0
1020,15,retrait,1972,6,0
630,3,paiement,1568,3,0
12180,3,transfert,5,14,1
3390,11,transfert,162,3,0
15190,11,paiement,965,2,0
6620,16,paiement,1194,4,0
14270,14,retrait,1861,0,0
410,22,transfert,974,4,0
5190,22,transfert,370,2,0
29110,16,retrait,1486,5,0
6040,8,transfert,1810,5,0
6440,5,transfert,1137,7,0
18690,11,retrait,525,2,0
15560,20,transfert,204,9,0
4950,21,paiement,238,3,0
17050,8,paiement,1595,1,0
2230,16,paiement,1681,3,0
4690,13,paiement,966,2,0
2670,19,transfert,757,3,0
8040,14,retrait,983,6,0
2690,22,paiement,62,3,0
2500,12,retrait,1713,2,0
1930,10,transfert,1675,2,0
340,11,retrait,1981,2,0
57660,16,paiement,1431,2,0
2930,15,transfert,583,3,0
7380,17,transfert,585,3,0
6220,12,transfert,1753,2,0
7060,13,transfert,60,2,0
5430,18,paiement,722,2,0
3760,16,paiement,1681,3,0
3390,23,transfert,385,4,0
2490,7,paiement,1346,2,0
2880,12,paiement,1484,3,0
9560,19,paiement,351,4,0
14800,12,transfert,1662,3,0
3810,14,transfert,875,0,0
2850,12,transfert,507,3,0
34040,9,paiement,1551,5,0
1940,17,paiement,1762,1,0
2090,15,paiement,1265,3,0
2050,13,transfert,458,2,0
500,9,paiement,135,4,0
4140,7,paiement,730,5,0
25260,15,paiement,1108,2,0
3970,12,transfert,830,0,0
8020,20,paiement,546,3,0
1860,16,transfert,656,6,0
2650,15,retrait,1047,1,0
9770,13,paiement,873,2,0
23260,3,transfert,4,17,1
2530,17,paiement,641,1,0
6000,12,paiement,1069,0,0
13480,16,transfert,1481,2,0
7290,15,transfert,1616,5,0
1940,18,retrait,257,1,0
280,10,paiement,545,2,0
7410,10,paiement,920,3,0
6070,11,paiement,1003,1,0
172450,4,transfert,54,9,1
6910,14,paiement,403,3,0
4120,16,retrait,732,2,0
87430,15,paiement,529,4,0
2320,10,retrait,1358,6,0
3250,14,paiement,1723,3,0
7180,13,retrait,1825,2,0
6320,8,transfert,301,1,0
5970,15,transfert,1594,7,0
610,12,paiement,1012,4,0
14950,12,retrait,794,6,0
8760,10,transfert,1799,4,0
16940,13,paiement,1720,2,0
7500,3,paiement,1233,5,0
3830,11,paiement,1673,4,0
4750,12,retrait,631,2,0
6830,16,paiement,1512,1,0
6660,14,retrait,774,2,0
8750,21,paiement,1641,2,0
5470,13,transfert,1041,2,0
1600,13,transfert,1948,3,0
30960,11,paiement,409,3,0
31580,14,transfert,478,1,0
6150,9,paiement,214,3,0
1670,11,transfert,1967,0,0
4110,13,paiement,1765,3,0
2370,18,paiement,426,5,0
450,10,transfert,1133,3,0
1930,14,retrait,1723,1,0
2600,16,paiement,1104,4,0
4150,10,retrait,1166,1,0
3510,10,transfert,1810,2,0
16360,14,transfert,724,1,0
5090,18,transfert,617,2,0
2980,19,transfert,1524,3,0
8760,10,retrait,484,1,0
10000,5,transfert,834,4,0
11200,16,paiement,1863,1,0
8550,18,paiement,534,1,0
12790,19,retrait,227,4,0
10340,17,paiement,146,2,0
7240,13,paiement,1474,1,0
6350,11,transfert,50,2,0
7820,13,transfert,1401,1,0
13330,9,transfert,767,2,0
28430,17,paiement,762,2,0
3920,19,transfert,54,0,0
8960,11,transfert,1243,5,0
13220,11,paiement,1092,2,0
14650,13,paiement,1536,3,0
810,14,retrait,93,0,0
8810,17,paiement,1901,6,0
7960,13,retrait,591,4,0
16770,8,paiement,952,4,0
2570,12,paiement,1369,3,0
4290,11,transfert,1936,4,0
6250,13,paiement,1352,3,0
1750,13,paiement,1492,7,0
394950,2,transfert,37,16,1
2060,9,retrait,491,5,0
2870,11,transfert,205,3,0
6730,13,transfert,1488,5,0
13300,14,transfert,1199,0,0
52940,14,transfert,1440,4,0
2530,8,paiement,149,5,0
8940,11,paiement,314,4,0
19480,21,transfert,1350,2,0
910,15,transfert,118,2,0
3260,15,paiement,227,3,0
10520,17,transfert,1325,1,0
17320,11,retrait,88,4,0
2440,16,paiement,1252,0,0
5600,9,retrait,1063,0,0
1140,17,transfert,352,5,0
6570,12,paiement,1715,7,0
6380,14,paiement,30,4,0
9980,10,paiement,1366,4,0
7170,13,retrait,428,2,0
18430,12,transfert,1169,2,0
6000,16,paiement,1459,2,0
4220,20,transfert,1856,5,0
5520,16,paiement,1719,3,0
1780,10,retrait,395,1,0
13300,11,transfert,1906,3,0
3240,10,paiement,273,4,0
2250,14,paiement,279,1,0
10690,8,paiement,189,4,0
4850,11,transfert,1797,3,0
4940,16,paiement,374,3,0
840,14,transfert,1455,3,0
211250,4,retrait,6,7,1
